,generated_350_each,generated_500_each,generated_1000_each,generated_1500_each,generated_2000_each,generated_2500_each,generated_3000_each,generated_3500_each,generated_4000_each,generated_4500_each,generated_5000_each
NB,42.16% ± 0.00,45.19% ± 0.00,45.42% ± 0.00,42.96% ± 0.00,44.27% ± 0.00,46.32% ± 0.00,48.22% ± 0.00,48.88% ± 0.00,49.09% ± 0.00,49.45% ± 0.00,49.84% ± 0.00
BERT,55.81% ± 3.85,58.53% ± 5.36,66.23% ± 5.01,72.90% ± 5.91,72.40% ± 2.09,74.77% ± 3.49,76.89% ± 2.73,75.61% ± 2.77,77.69% ± 2.79,73.93% ± 4.25,77.24% ± 2.75
LightGBM,31.97% ± 0.00,38.10% ± 0.00,47.54% ± 0.00,50.67% ± 0.00,52.53% ± 0.00,52.79% ± 0.00,54.87% ± 0.00,53.62% ± 0.00,54.77% ± 0.00,55.63% ± 0.00,54.90% ± 0.00
LSTM,14.39% ± 10.34,24.56% ± 9.77,36.35% ± 14.49,34.89% ± 7.09,38.72% ± 18.13,47.19% ± 18.70,55.26% ± 5.71,51.54% ± 11.21,54.06% ± 4.64,59.25% ± 2.41,38.59% ± 7.01
KNN,30.48% ± 5.98,29.35% ± 6.13,35.14% ± 0.57,33.62% ± 5.65,31.78% ± 4.84,22.77% ± 3.67,35.27% ± 10.09,36.20% ± 2.75,34.20% ± 7.05,30.76% ± 6.49,28.81% ± 7.21
XGBoost,35.85% ± 0.00,37.92% ± 0.00,45.28% ± 0.00,46.98% ± 0.00,46.70% ± 0.00,46.79% ± 0.00,47.71% ± 0.00,47.08% ± 0.00,46.88% ± 0.00,50.00% ± 0.00,49.43% ± 0.00
LR,41.74% ± 0.00,48.11% ± 0.00,45.27% ± 0.00,46.51% ± 0.00,48.98% ± 0.00,47.80% ± 0.00,47.65% ± 0.00,49.19% ± 0.00,50.10% ± 0.00,49.21% ± 0.00,48.47% ± 0.00
SVM,42.79% ± 0.07,43.51% ± 0.37,43.10% ± 0.01,44.53% ± 0.22,46.90% ± 0.09,48.01% ± 0.54,48.76% ± 0.20,50.87% ± 0.44,49.40% ± 0.50,49.93% ± 0.14,48.68% ± 0.45
