,original,augmented_spam_1,augmented_spam_2,augmented_spam_3,augmented_spam_4,augmented_spam_5
NB,97.67% ± 0.00,87.33% ± 0.00,82.39% ± 0.00,78.70% ± 0.00,75.43% ± 0.00,73.48% ± 0.00
BERT,94.58% ± 2.27,95.81% ± 1.42,95.66% ± 1.18,95.93% ± 1.54,96.18% ± 1.62,96.63% ± 0.92
LightGBM,95.42% ± 0.00,93.66% ± 0.00,93.57% ± 0.00,93.01% ± 0.00,89.93% ± 0.00,91.10% ± 0.00
LSTM,92.58% ± 1.84,90.03% ± 3.72,93.26% ± 1.80,93.60% ± 2.70,93.92% ± 2.55,92.93% ± 2.81
KNN,94.96% ± 0.00,88.48% ± 0.83,85.22% ± 1.48,82.77% ± 2.46,85.07% ± 1.85,79.82% ± 1.08
XGBoost,91.84% ± 0.00,86.09% ± 0.00,83.20% ± 0.00,82.35% ± 0.00,76.87% ± 0.00,75.82% ± 0.00
LR,99.16% ± 0.00,97.74% ± 0.00,95.00% ± 0.00,91.16% ± 0.00,89.93% ± 0.00,88.00% ± 0.00
SVM,97.06% ± 0.00,93.59% ± 0.24,93.71% ± 0.00,93.10% ± 0.00,92.36% ± 0.00,91.50% ± 0.33
