,original,generated_350_each,generated_500_each,generated_1000_each,generated_1500_each,generated_2000_each,generated_2500_each,generated_3000_each,generated_3500_each,generated_4000_each,generated_4500_each,generated_5000_each
NB,97.66% ± 0.00,97.48% ± 0.00,97.57% ± 0.00,97.12% ± 0.00,96.85% ± 0.00,96.31% ± 0.00,95.86% ± 0.00,95.59% ± 0.00,94.60% ± 0.00,94.24% ± 0.00,93.79% ± 0.00,93.88% ± 0.00
BERT,98.80% ± 0.22,99.14% ± 0.26,98.89% ± 0.19,99.09% ± 0.09,99.23% ± 0.23,99.21% ± 0.10,99.03% ± 0.07,99.16% ± 0.19,99.28% ± 0.14,99.10% ± 0.06,99.26% ± 0.15,99.14% ± 0.17
LightGBM,97.30% ± 0.00,97.48% ± 0.00,97.66% ± 0.00,97.21% ± 0.00,97.12% ± 0.00,96.67% ± 0.00,96.22% ± 0.00,96.04% ± 0.00,95.86% ± 0.00,95.59% ± 0.00,95.50% ± 0.00,95.50% ± 0.00
LSTM,97.52% ± 0.46,97.51% ± 0.62,97.92% ± 0.45,98.08% ± 0.35,97.90% ± 0.45,98.03% ± 0.15,98.04% ± 0.25,98.03% ± 0.27,97.94% ± 0.34,97.87% ± 0.65,98.03% ± 0.29,98.12% ± 0.25
KNN,96.22% ± 0.00,94.12% ± 0.77,94.50% ± 0.50,93.29% ± 0.87,90.97% ± 4.55,91.82% ± 0.55,89.69% ± 4.39,89.68% ± 4.85,89.06% ± 4.87,88.94% ± 5.84,87.61% ± 5.69,89.57% ± 0.65
XGBoost,93.97% ± 0.00,93.97% ± 0.00,93.53% ± 0.00,93.97% ± 0.00,92.72% ± 0.00,91.55% ± 0.00,91.37% ± 0.00,91.28% ± 0.00,91.10% ± 0.00,90.83% ± 0.00,90.74% ± 0.00,91.01% ± 0.00
LR,97.12% ± 0.00,97.39% ± 0.00,97.48% ± 0.00,96.76% ± 0.00,96.67% ± 0.00,96.58% ± 0.00,96.04% ± 0.00,95.59% ± 0.00,95.23% ± 0.00,95.05% ± 0.00,95.14% ± 0.00,95.05% ± 0.00
SVM,98.11% ± 0.00,97.61% ± 0.04,97.72% ± 0.04,97.14% ± 0.04,96.96% ± 0.14,96.74% ± 0.10,96.01% ± 0.07,96.56% ± 0.04,95.99% ± 0.04,96.31% ± 0.14,96.33% ± 0.12,96.26% ± 0.07
