,original,augmented_mixed_5,augmented_mixed_10,augmented_mixed_20,augmented_mixed_30,augmented_mixed_40,augmented_mixed_50,augmented_mixed_60,augmented_mixed_70,augmented_mixed_80,augmented_mixed_90,augmented_mixed_100
NB,84.56% ± 0.00,84.56% ± 0.00,83.89% ± 0.00,83.89% ± 0.00,83.22% ± 0.00,83.22% ± 0.00,83.22% ± 0.00,83.22% ± 0.00,83.22% ± 0.00,83.22% ± 0.00,83.22% ± 0.00,83.22% ± 0.00
BERT,97.58% ± 0.68,96.91% ± 0.81,96.78% ± 0.27,97.85% ± 0.50,96.78% ± 0.27,97.05% ± 0.33,96.64% ± 0.42,97.05% ± 0.33,97.32% ± 0.74,97.05% ± 0.91,97.72% ± 0.33,97.05% ± 0.54
LightGBM,83.89% ± 0.00,85.91% ± 0.00,85.23% ± 0.00,85.23% ± 0.00,85.91% ± 0.00,86.58% ± 0.00,87.25% ± 0.00,85.91% ± 0.00,87.92% ± 0.00,84.56% ± 0.00,86.58% ± 0.00,85.91% ± 0.00
LSTM,92.89% ± 0.54,92.75% ± 2.22,93.83% ± 1.43,92.48% ± 1.07,90.87% ± 3.44,94.09% ± 1.30,93.42% ± 0.50,92.35% ± 1.57,91.68% ± 1.17,92.48% ± 1.23,93.15% ± 1.61,93.56% ± 1.62
KNN,75.84% ± 0.00,76.38% ± 0.50,77.72% ± 0.50,74.90% ± 0.54,76.38% ± 0.50,77.85% ± 0.42,78.52% ± 0.42,79.46% ± 0.81,79.19% ± 0.42,79.06% ± 1.37,79.33% ± 0.78,78.93% ± 0.54
XGBoost,60.40% ± 0.00,63.76% ± 0.00,61.07% ± 0.00,59.73% ± 0.00,62.42% ± 0.00,61.74% ± 0.00,57.72% ± 0.00,60.40% ± 0.00,58.39% ± 0.00,57.72% ± 0.00,59.06% ± 0.00,59.73% ± 0.00
LR,79.19% ± 0.00,81.21% ± 0.00,80.54% ± 0.00,81.21% ± 0.00,80.54% ± 0.00,80.54% ± 0.00,82.55% ± 0.00,82.55% ± 0.00,81.88% ± 0.00,81.88% ± 0.00,79.87% ± 0.00,81.88% ± 0.00
SVM,88.59% ± 0.00,87.92% ± 0.00,85.91% ± 0.00,85.37% ± 0.27,85.23% ± 0.00,85.91% ± 0.00,84.97% ± 0.33,86.58% ± 0.00,87.79% ± 0.27,86.58% ± 0.00,86.04% ± 0.27,87.25% ± 0.00
