,generated_350_each,generated_500_each,generated_1000_each,generated_1500_each,generated_2000_each,generated_2500_each,generated_3000_each,generated_3500_each,generated_4000_each,generated_4500_each,generated_5000_each
NB,35.29% ± 0.00,38.34% ± 0.00,36.50% ± 0.00,33.51% ± 0.00,34.64% ± 0.00,36.13% ± 0.00,37.68% ± 0.00,37.44% ± 0.00,37.61% ± 0.00,37.76% ± 0.00,37.64% ± 0.00
BERT,40.00% ± 4.25,43.44% ± 6.51,53.12% ± 8.12,69.40% ± 13.24,62.35% ± 6.12,63.68% ± 3.96,71.62% ± 5.27,69.89% ± 7.56,68.51% ± 5.91,69.47% ± 10.75,72.95% ± 7.35
LightGBM,35.15% ± 0.00,39.32% ± 0.00,39.91% ± 0.00,42.23% ± 0.00,44.55% ± 0.00,44.28% ± 0.00,45.58% ± 0.00,43.71% ± 0.00,45.04% ± 0.00,46.27% ± 0.00,46.09% ± 0.00
LSTM,13.62% ± 2.40,19.42% ± 7.73,39.32% ± 7.47,40.26% ± 14.43,32.20% ± 14.72,52.43% ± 14.71,46.71% ± 10.31,56.40% ± 11.99,45.43% ± 3.83,52.80% ± 5.54,47.11% ± 9.88
KNN,25.55% ± 8.92,23.81% ± 8.10,30.42% ± 0.78,27.79% ± 6.79,26.32% ± 5.97,15.82% ± 4.53,25.90% ± 8.92,29.21% ± 1.87,26.48% ± 6.55,23.53% ± 7.25,20.27% ± 6.85
XGBoost,47.87% ± 0.00,50.79% ± 0.00,54.86% ± 0.00,55.80% ± 0.00,54.77% ± 0.00,53.63% ± 0.00,54.27% ± 0.00,52.65% ± 0.00,52.58% ± 0.00,53.08% ± 0.00,53.16% ± 0.00
LR,34.04% ± 0.00,39.93% ± 0.00,37.25% ± 0.00,37.72% ± 0.00,39.62% ± 0.00,38.69% ± 0.00,38.01% ± 0.00,38.92% ± 0.00,40.03% ± 0.00,39.04% ± 0.00,38.43% ± 0.00
SVM,33.27% ± 0.05,34.64% ± 0.25,35.37% ± 0.01,36.24% ± 0.17,37.94% ± 0.04,38.59% ± 0.46,39.45% ± 0.16,41.42% ± 0.29,40.49% ± 0.30,40.63% ± 0.12,39.48% ± 0.39
