,original,augmented_mixed_5,augmented_mixed_10,augmented_mixed_20,augmented_mixed_30,augmented_mixed_40,augmented_mixed_50,augmented_mixed_60,augmented_mixed_70,augmented_mixed_80,augmented_mixed_90,augmented_mixed_100
NB,97.66% ± 0.00,97.84% ± 0.00,97.66% ± 0.00,97.57% ± 0.00,97.57% ± 0.00,97.57% ± 0.00,97.39% ± 0.00,97.48% ± 0.00,97.48% ± 0.00,97.48% ± 0.00,97.57% ± 0.00,97.48% ± 0.00
BERT,98.53% ± 0.41,98.98% ± 0.36,99.00% ± 0.12,99.01% ± 0.25,98.82% ± 0.30,98.74% ± 0.45,98.82% ± 0.66,98.96% ± 0.40,98.73% ± 0.61,98.71% ± 0.90,98.96% ± 0.48,98.65% ± 0.84
LightGBM,97.30% ± 0.00,97.57% ± 0.00,97.30% ± 0.00,97.66% ± 0.00,97.84% ± 0.00,97.84% ± 0.00,97.93% ± 0.00,98.02% ± 0.00,98.20% ± 0.00,97.57% ± 0.00,98.02% ± 0.00,98.02% ± 0.00
LSTM,98.03% ± 0.69,97.49% ± 0.70,97.83% ± 0.77,97.92% ± 0.33,97.74% ± 0.35,97.60% ± 0.51,97.74% ± 0.32,97.61% ± 0.66,97.88% ± 0.40,97.97% ± 0.24,98.28% ± 0.32,97.38% ± 0.75
KNN,96.22% ± 0.00,95.56% ± 0.22,96.26% ± 0.15,95.59% ± 0.16,95.79% ± 0.07,96.04% ± 0.39,95.45% ± 0.12,96.17% ± 0.24,96.80% ± 0.13,96.40% ± 0.26,96.91% ± 0.09,96.78% ± 0.14
XGBoost,93.97% ± 0.00,94.51% ± 0.00,93.97% ± 0.00,94.06% ± 0.00,94.15% ± 0.00,94.15% ± 0.00,93.88% ± 0.00,93.97% ± 0.00,93.44% ± 0.00,93.44% ± 0.00,93.88% ± 0.00,93.97% ± 0.00
LR,97.12% ± 0.00,97.30% ± 0.00,97.21% ± 0.00,97.30% ± 0.00,97.21% ± 0.00,97.21% ± 0.00,97.48% ± 0.00,97.48% ± 0.00,97.39% ± 0.00,97.39% ± 0.00,97.03% ± 0.00,97.30% ± 0.00
SVM,98.11% ± 0.00,98.11% ± 0.00,97.84% ± 0.00,97.77% ± 0.04,97.70% ± 0.04,97.93% ± 0.00,97.84% ± 0.06,97.93% ± 0.00,98.27% ± 0.04,98.11% ± 0.00,97.95% ± 0.04,98.11% ± 0.00
