,generated_350_each,generated_500_each,generated_1000_each,generated_1500_each,generated_2000_each,generated_2500_each,generated_3000_each,generated_3500_each,generated_4000_each,generated_4500_each,generated_5000_each
NB,80.71% ± 0.00,82.08% ± 0.00,80.60% ± 0.00,78.66% ± 0.00,79.27% ± 0.00,79.92% ± 0.00,80.69% ± 0.00,80.23% ± 0.00,80.32% ± 0.00,80.33% ± 0.00,80.06% ± 0.00
BERT,80.02% ± 2.95,82.15% ± 4.20,87.43% ± 2.97,91.58% ± 3.50,90.95% ± 1.36,91.76% ± 1.33,93.23% ± 1.05,92.72% ± 0.57,92.96% ± 1.35,92.15% ± 1.52,93.32% ± 1.55
LightGBM,83.25% ± 0.00,83.88% ± 0.00,82.58% ± 0.00,83.44% ± 0.00,84.47% ± 0.00,84.31% ± 0.00,84.77% ± 0.00,83.89% ± 0.00,84.50% ± 0.00,85.06% ± 0.00,85.03% ± 0.00
LSTM,57.74% ± 29.91,62.75% ± 23.36,83.17% ± 3.59,83.16% ± 3.09,77.39% ± 10.63,84.67% ± 4.77,83.24% ± 6.10,86.30% ± 5.18,84.51% ± 1.48,87.23% ± 1.55,85.11% ± 2.71
KNN,70.01% ± 13.41,68.20% ± 14.15,79.37% ± 0.43,74.14% ± 10.52,73.98% ± 9.59,58.01% ± 9.14,68.33% ± 12.06,77.34% ± 1.54,72.18% ± 10.32,68.02% ± 12.04,61.66% ± 11.48
XGBoost,86.23% ± 0.00,86.70% ± 0.00,87.49% ± 0.00,87.70% ± 0.00,87.52% ± 0.00,87.33% ± 0.00,87.47% ± 0.00,87.15% ± 0.00,87.13% ± 0.00,87.31% ± 0.00,87.31% ± 0.00
LR,79.78% ± 0.00,82.47% ± 0.00,81.27% ± 0.00,81.27% ± 0.00,82.06% ± 0.00,81.66% ± 0.00,81.16% ± 0.00,81.47% ± 0.00,82.10% ± 0.00,81.56% ± 0.00,81.27% ± 0.00
SVM,78.48% ± 0.02,79.60% ± 0.08,80.45% ± 0.01,80.68% ± 0.08,81.33% ± 0.04,81.52% ± 0.21,81.99% ± 0.08,82.90% ± 0.11,82.57% ± 0.13,82.56% ± 0.06,82.03% ± 0.18
