,original,augmented_spam_1,augmented_spam_2,augmented_spam_3,augmented_spam_4,augmented_spam_5
NB,84.56% ± 0.00,87.92% ± 0.00,87.92% ± 0.00,89.26% ± 0.00,88.59% ± 0.00,89.26% ± 0.00
BERT,97.18% ± 0.66,97.72% ± 0.33,97.45% ± 0.27,97.18% ± 0.78,97.18% ± 0.78,95.84% ± 0.66
LightGBM,83.89% ± 0.00,89.26% ± 0.00,87.92% ± 0.00,89.26% ± 0.00,89.93% ± 0.00,89.26% ± 0.00
LSTM,93.29% ± 1.12,93.02% ± 1.00,92.48% ± 0.99,92.48% ± 1.43,91.95% ± 1.12,91.81% ± 1.77
KNN,75.84% ± 0.00,75.17% ± 0.00,81.07% ± 0.50,82.68% ± 0.27,80.81% ± 0.33,80.13% ± 0.33
XGBoost,60.40% ± 0.00,66.44% ± 0.00,69.80% ± 0.00,75.17% ± 0.00,75.84% ± 0.00,77.85% ± 0.00
LR,79.19% ± 0.00,87.25% ± 0.00,89.26% ± 0.00,89.93% ± 0.00,89.93% ± 0.00,88.59% ± 0.00
SVM,88.59% ± 0.00,90.07% ± 0.27,89.93% ± 0.00,90.60% ± 0.00,89.26% ± 0.00,89.53% ± 0.33
