,original,generated_350_each,generated_500_each,generated_1000_each,generated_1500_each,generated_2000_each,generated_2500_each,generated_3000_each,generated_3500_each,generated_4000_each,generated_4500_each,generated_5000_each
NB,90.65% ± 0.00,90.07% ± 0.00,90.46% ± 0.00,88.81% ± 0.00,87.72% ± 0.00,85.91% ± 0.00,84.25% ± 0.00,83.39% ± 0.00,80.00% ± 0.00,78.95% ± 0.00,77.52% ± 0.00,77.63% ± 0.00
BERT,95.57% ± 0.77,96.81% ± 0.98,95.93% ± 0.68,96.62% ± 0.34,97.15% ± 0.82,97.06% ± 0.37,96.37% ± 0.24,96.86% ± 0.72,97.34% ± 0.50,96.66% ± 0.19,97.28% ± 0.55,96.80% ± 0.60
LightGBM,89.29% ± 0.00,90.34% ± 0.00,91.03% ± 0.00,89.35% ± 0.00,89.04% ± 0.00,87.20% ± 0.00,85.71% ± 0.00,84.93% ± 0.00,84.14% ± 0.00,83.04% ± 0.00,82.76% ± 0.00,82.76% ± 0.00
LSTM,90.83% ± 1.58,90.77% ± 2.10,92.37% ± 1.51,92.88% ± 1.17,92.17% ± 1.52,92.60% ± 0.51,92.71% ± 0.78,92.53% ± 0.99,92.31% ± 1.15,92.15% ± 2.03,92.59% ± 1.01,92.79% ± 1.08
KNN,84.33% ± 0.00,78.34% ± 2.08,79.52% ± 1.43,76.12% ± 2.43,71.35% ± 8.53,71.85% ± 1.48,67.72% ± 7.88,68.22% ± 8.55,67.03% ± 8.34,67.33% ± 9.44,63.27% ± 8.09,65.34% ± 1.58
XGBoost,72.87% ± 0.00,72.87% ± 0.00,69.75% ± 0.00,72.87% ± 0.00,65.53% ± 0.00,58.41% ± 0.00,56.76% ± 0.00,56.11% ± 0.00,55.61% ± 0.00,54.05% ± 0.00,53.39% ± 0.00,56.14% ± 0.00
LR,88.06% ± 0.00,89.61% ± 0.00,90.07% ± 0.00,86.96% ± 0.00,87.02% ± 0.00,86.81% ± 0.00,84.93% ± 0.00,83.50% ± 0.00,82.39% ± 0.00,81.73% ± 0.00,81.88% ± 0.00,81.73% ± 0.00
SVM,92.63% ± 0.00,90.69% ± 0.18,91.10% ± 0.16,89.01% ± 0.13,88.34% ± 0.51,87.56% ± 0.37,84.96% ± 0.28,86.85% ± 0.13,85.06% ± 0.15,86.22% ± 0.45,86.29% ± 0.51,85.98% ± 0.27
