,generated_350_each,generated_500_each,generated_1000_each,generated_1500_each,generated_2000_each,generated_2500_each,generated_3000_each,generated_3500_each,generated_4000_each,generated_4500_each,generated_5000_each
NB,79.50% ± 0.00,82.73% ± 0.00,80.85% ± 0.00,78.96% ± 0.00,78.96% ± 0.00,79.95% ± 0.00,80.49% ± 0.00,79.50% ± 0.00,78.96% ± 0.00,79.23% ± 0.00,78.24% ± 0.00
BERT,78.10% ± 4.19,83.68% ± 3.47,89.81% ± 1.46,90.83% ± 2.51,90.46% ± 3.03,91.68% ± 1.22,91.14% ± 1.67,92.47% ± 1.09,92.27% ± 1.61,92.23% ± 1.28,93.17% ± 1.28
LightGBM,84.17% ± 0.00,85.16% ± 0.00,83.45% ± 0.00,85.70% ± 0.00,85.61% ± 0.00,84.98% ± 0.00,84.80% ± 0.00,84.08% ± 0.00,84.17% ± 0.00,84.71% ± 0.00,85.43% ± 0.00
LSTM,71.80% ± 11.76,69.24% ± 15.12,77.85% ± 5.19,80.83% ± 2.06,78.80% ± 5.45,80.99% ± 8.50,83.78% ± 4.24,87.26% ± 2.31,88.70% ± 0.88,82.51% ± 8.80,86.03% ± 4.51
KNN,71.10% ± 14.36,73.18% ± 11.41,68.27% ± 12.80,79.87% ± 1.09,57.54% ± 11.03,63.27% ± 11.01,77.90% ± 1.70,76.04% ± 1.87,65.95% ± 12.95,65.85% ± 12.87,67.95% ± 9.30
XGBoost,86.69% ± 0.00,87.14% ± 0.00,88.85% ± 0.00,89.12% ± 0.00,88.76% ± 0.00,88.76% ± 0.00,88.40% ± 0.00,88.13% ± 0.00,88.04% ± 0.00,88.31% ± 0.00,88.49% ± 0.00
LR,79.86% ± 0.00,84.17% ± 0.00,82.01% ± 0.00,81.29% ± 0.00,82.19% ± 0.00,81.21% ± 0.00,80.94% ± 0.00,81.12% ± 0.00,81.83% ± 0.00,81.03% ± 0.00,80.13% ± 0.00
SVM,79.77% ± 0.00,80.97% ± 0.11,80.04% ± 0.00,80.07% ± 0.09,80.23% ± 0.15,80.07% ± 0.25,81.04% ± 0.28,81.53% ± 0.15,81.13% ± 0.17,81.73% ± 0.19,81.10% ± 0.16
