,original,augmented_mixed_5,augmented_mixed_10,augmented_mixed_20,augmented_mixed_30,augmented_mixed_40,augmented_mixed_50,augmented_mixed_60,augmented_mixed_70,augmented_mixed_80,augmented_mixed_90,augmented_mixed_100
NB,90.65% ± 0.00,91.30% ± 0.00,90.58% ± 0.00,90.25% ± 0.00,90.18% ± 0.00,90.18% ± 0.00,89.53% ± 0.00,89.86% ± 0.00,89.86% ± 0.00,89.86% ± 0.00,90.18% ± 0.00,89.86% ± 0.00
BERT,94.69% ± 1.41,96.22% ± 1.26,96.26% ± 0.43,96.38% ± 0.87,95.64% ± 1.06,95.41% ± 1.53,95.68% ± 2.27,96.16% ± 1.43,95.39% ± 2.08,95.37% ± 2.99,96.20% ± 1.68,95.17% ± 2.78
LightGBM,89.29% ± 0.00,90.46% ± 0.00,89.44% ± 0.00,90.71% ± 0.00,91.43% ± 0.00,91.49% ± 0.00,91.87% ± 0.00,92.09% ± 0.00,92.91% ± 0.00,90.32% ± 0.00,92.14% ± 0.00,92.09% ± 0.00
LSTM,92.69% ± 2.37,90.86% ± 2.33,92.13% ± 2.50,92.25% ± 1.15,91.46% ± 1.47,91.29% ± 1.77,91.72% ± 1.05,91.24% ± 2.25,92.07% ± 1.39,92.43% ± 0.79,93.53% ± 1.21,90.60% ± 2.33
KNN,84.33% ± 0.00,82.17% ± 0.70,84.78% ± 0.49,82.00% ± 0.48,82.94% ± 0.22,84.08% ± 1.33,82.22% ± 0.45,84.76% ± 0.75,86.90% ± 0.46,85.48% ± 1.09,87.30% ± 0.30,86.79% ± 0.46
XGBoost,72.87% ± 0.00,75.70% ± 0.00,73.09% ± 0.00,72.95% ± 0.00,74.10% ± 0.00,73.90% ± 0.00,71.67% ± 0.00,72.87% ± 0.00,70.45% ± 0.00,70.20% ± 0.00,72.13% ± 0.00,72.65% ± 0.00
LR,88.06% ± 0.00,88.97% ± 0.00,88.56% ± 0.00,88.97% ± 0.00,88.56% ± 0.00,88.56% ± 0.00,89.78% ± 0.00,89.78% ± 0.00,89.38% ± 0.00,89.38% ± 0.00,87.82% ± 0.00,89.05% ± 0.00
SVM,92.63% ± 0.00,92.58% ± 0.00,91.43% ± 0.00,91.12% ± 0.16,90.84% ± 0.16,91.76% ± 0.00,91.34% ± 0.23,91.81% ± 0.00,93.16% ± 0.15,92.47% ± 0.00,91.83% ± 0.15,92.53% ± 0.00
