,generated_350_each,generated_500_each,generated_1000_each,generated_1500_each,generated_2000_each,generated_2500_each,generated_3000_each,generated_3500_each,generated_4000_each,generated_4500_each,generated_5000_each
NB,52.34% ± 0.00,55.02% ± 0.00,60.11% ± 0.00,59.84% ± 0.00,61.31% ± 0.00,64.52% ± 0.00,66.93% ± 0.00,70.41% ± 0.00,70.68% ± 0.00,71.62% ± 0.00,73.76% ± 0.00
BERT,93.12% ± 1.72,91.67% ± 4.07,89.91% ± 3.79,80.40% ± 8.42,88.19% ± 8.51,90.74% ± 3.76,83.64% ± 5.42,85.41% ± 12.43,90.47% ± 3.39,83.69% ± 14.41,83.27% ± 5.39
LightGBM,29.32% ± 0.00,36.95% ± 0.00,58.77% ± 0.00,63.32% ± 0.00,63.99% ± 0.00,65.33% ± 0.00,68.94% ± 0.00,69.34% ± 0.00,69.88% ± 0.00,69.75% ± 0.00,67.87% ± 0.00
LSTM,43.21% ± 44.36,47.42% ± 32.80,41.61% ± 23.69,34.62% ± 11.88,57.03% ± 28.78,59.89% ± 29.74,73.73% ± 13.03,57.19% ± 24.36,69.34% ± 14.78,69.42% ± 9.62,36.49% ± 14.76
KNN,44.20% ± 7.32,44.20% ± 6.14,41.61% ± 0.27,45.22% ± 2.65,42.44% ± 2.85,44.34% ± 3.15,58.66% ± 9.01,48.19% ± 7.52,50.66% ± 7.63,48.49% ± 2.52,53.65% ± 3.53
XGBoost,28.65% ± 0.00,30.25% ± 0.00,38.55% ± 0.00,40.56% ± 0.00,40.70% ± 0.00,41.50% ± 0.00,42.57% ± 0.00,42.57% ± 0.00,42.30% ± 0.00,47.26% ± 0.00,46.18% ± 0.00
LR,53.95% ± 0.00,60.51% ± 0.00,57.70% ± 0.00,60.64% ± 0.00,64.12% ± 0.00,62.52% ± 0.00,63.86% ± 0.00,66.80% ± 0.00,66.93% ± 0.00,66.53% ± 0.00,65.60% ± 0.00
SVM,59.95% ± 0.13,58.50% ± 0.66,55.15% ± 0.00,57.75% ± 0.38,61.42% ± 0.32,63.53% ± 0.75,63.83% ± 0.43,65.92% ± 0.76,63.35% ± 1.08,64.77% ± 0.27,63.45% ± 0.67
