,original,generated_350_each,generated_500_each,generated_1000_each,generated_1500_each,generated_2000_each,generated_2500_each,generated_3000_each,generated_3500_each,generated_4000_each,generated_4500_each,generated_5000_each
NB,84.56% ± 0.00,85.23% ± 0.00,85.91% ± 0.00,85.23% ± 0.00,83.89% ± 0.00,83.89% ± 0.00,82.55% ± 0.00,82.55% ± 0.00,80.54% ± 0.00,80.54% ± 0.00,79.87% ± 0.00,79.19% ± 0.00
BERT,97.05% ± 0.91,97.72% ± 1.24,97.85% ± 0.50,97.85% ± 0.78,97.99% ± 0.42,97.32% ± 0.95,96.24% ± 0.54,97.18% ± 0.99,98.26% ± 0.33,97.05% ± 0.68,98.39% ± 0.54,97.45% ± 1.15
LightGBM,83.89% ± 0.00,87.92% ± 0.00,88.59% ± 0.00,87.25% ± 0.00,87.25% ± 0.00,84.56% ± 0.00,84.56% ± 0.00,83.22% ± 0.00,81.88% ± 0.00,80.54% ± 0.00,80.54% ± 0.00,80.54% ± 0.00
LSTM,91.41% ± 0.78,91.28% ± 2.58,93.83% ± 1.15,93.29% ± 1.34,91.95% ± 1.53,92.35% ± 1.00,92.89% ± 2.19,91.41% ± 0.99,92.35% ± 0.81,92.75% ± 1.72,92.08% ± 0.89,90.87% ± 2.27
KNN,75.84% ± 0.00,79.06% ± 0.50,79.60% ± 0.81,79.46% ± 0.68,78.52% ± 2.32,77.85% ± 0.60,76.64% ± 1.77,77.72% ± 1.30,78.39% ± 2.34,78.52% ± 1.47,74.50% ± 2.44,73.29% ± 1.07
XGBoost,60.40% ± 0.00,60.40% ± 0.00,55.70% ± 0.00,60.40% ± 0.00,51.68% ± 0.00,44.30% ± 0.00,42.28% ± 0.00,41.61% ± 0.00,41.61% ± 0.00,40.27% ± 0.00,39.60% ± 0.00,42.95% ± 0.00
LR,79.19% ± 0.00,83.89% ± 0.00,85.23% ± 0.00,80.54% ± 0.00,83.22% ± 0.00,83.89% ± 0.00,83.22% ± 0.00,83.22% ± 0.00,83.22% ± 0.00,82.55% ± 0.00,81.88% ± 0.00,82.55% ± 0.00
SVM,88.59% ± 0.00,86.98% ± 0.33,87.25% ± 0.00,86.44% ± 0.27,85.91% ± 0.42,85.50% ± 0.33,84.16% ± 0.33,84.70% ± 0.27,85.23% ± 0.42,86.04% ± 0.27,86.17% ± 0.91,85.64% ± 0.33
