,original,augmented_mixed_5,augmented_mixed_10,augmented_mixed_20,augmented_mixed_30,augmented_mixed_40,augmented_mixed_50,augmented_mixed_60,augmented_mixed_70,augmented_mixed_80,augmented_mixed_90,augmented_mixed_100
NB,97.67% ± 0.00,99.21% ± 0.00,98.43% ± 0.00,97.66% ± 0.00,98.41% ± 0.00,98.41% ± 0.00,96.88% ± 0.00,97.64% ± 0.00,97.64% ± 0.00,97.64% ± 0.00,98.41% ± 0.00,97.64% ± 0.00
BERT,92.02% ± 3.03,95.60% ± 2.80,95.75% ± 0.65,94.98% ± 2.13,94.54% ± 2.08,93.88% ± 3.05,94.86% ± 4.59,95.33% ± 2.71,93.66% ± 4.36,94.01% ± 6.12,94.80% ± 3.44,93.56% ± 5.61
LightGBM,95.42% ± 0.00,95.52% ± 0.00,94.07% ± 0.00,96.95% ± 0.00,97.71% ± 0.00,96.99% ± 0.00,97.01% ± 0.00,99.22% ± 0.00,98.50% ± 0.00,96.92% ± 0.00,98.47% ± 0.00,99.22% ± 0.00
LSTM,92.59% ± 4.32,89.23% ± 4.72,90.73% ± 5.67,92.06% ± 2.33,92.18% ± 1.80,88.69% ± 2.77,90.11% ± 2.39,90.29% ± 4.40,92.53% ± 2.93,92.45% ± 2.39,93.93% ± 1.60,88.07% ± 5.38
KNN,94.96% ± 0.00,88.95% ± 1.82,93.26% ± 1.42,90.62% ± 1.62,90.76% ± 0.81,91.42% ± 2.82,86.29% ± 0.67,90.87% ± 2.22,96.27% ± 1.45,93.05% ± 1.12,97.08% ± 1.46,96.44% ± 1.74
XGBoost,91.84% ± 0.00,93.14% ± 0.00,91.00% ± 0.00,93.68% ± 0.00,91.18% ± 0.00,92.00% ± 0.00,94.51% ± 0.00,91.84% ± 0.00,88.78% ± 0.00,89.58% ± 0.00,92.63% ± 0.00,92.71% ± 0.00
LR,99.16% ± 0.00,98.37% ± 0.00,98.36% ± 0.00,98.37% ± 0.00,98.36% ± 0.00,98.36% ± 0.00,98.40% ± 0.00,98.40% ± 0.00,98.39% ± 0.00,98.39% ± 0.00,97.54% ± 0.00,97.60% ± 0.00
SVM,97.06% ± 0.00,97.76% ± 0.00,97.71% ± 0.00,97.70% ± 0.01,97.24% ± 0.37,98.46% ± 0.00,98.75% ± 0.38,97.73% ± 0.00,99.24% ± 0.00,99.23% ± 0.00,98.46% ± 0.00,98.48% ± 0.00
