,generated_350_each,generated_500_each,generated_1000_each,generated_1500_each,generated_2000_each,generated_2500_each,generated_3000_each,generated_3500_each,generated_4000_each,generated_4500_each,generated_5000_each
NB,38.38% ± 0.00,43.86% ± 0.00,44.09% ± 0.00,41.21% ± 0.00,41.79% ± 0.00,44.11% ± 0.00,45.89% ± 0.00,46.48% ± 0.00,46.33% ± 0.00,46.90% ± 0.00,45.50% ± 0.00
BERT,54.28% ± 4.66,60.99% ± 4.87,69.18% ± 3.02,72.25% ± 4.74,72.52% ± 5.25,73.66% ± 1.95,73.29% ± 2.94,76.07% ± 2.81,75.75% ± 3.19,74.93% ± 2.65,77.31% ± 3.50
LightGBM,35.77% ± 0.00,42.51% ± 0.00,48.89% ± 0.00,54.70% ± 0.00,55.31% ± 0.00,54.50% ± 0.00,55.17% ± 0.00,54.73% ± 0.00,54.64% ± 0.00,55.26% ± 0.00,56.68% ± 0.00
LSTM,11.97% ± 3.53,18.87% ± 10.95,40.21% ± 5.22,28.30% ± 20.13,40.24% ± 8.64,37.84% ± 17.64,52.21% ± 10.45,54.35% ± 17.02,52.84% ± 12.13,53.38% ± 6.49,53.03% ± 8.86
KNN,31.72% ± 7.04,30.88% ± 4.49,27.81% ± 5.84,34.79% ± 1.84,26.84% ± 8.47,24.38% ± 2.99,40.03% ± 5.07,34.55% ± 4.96,26.55% ± 5.86,28.97% ± 8.03,28.14% ± 5.24
XGBoost,38.33% ± 0.00,40.66% ± 0.00,50.79% ± 0.00,52.92% ± 0.00,52.11% ± 0.00,52.83% ± 0.00,52.40% ± 0.00,51.82% ± 0.00,51.64% ± 0.00,54.23% ± 0.00,53.62% ± 0.00
LR,42.56% ± 0.00,51.38% ± 0.00,44.44% ± 0.00,46.11% ± 0.00,48.17% ± 0.00,46.55% ± 0.00,47.00% ± 0.00,48.78% ± 0.00,49.75% ± 0.00,48.66% ± 0.00,47.26% ± 0.00
SVM,45.26% ± 0.00,44.20% ± 0.57,40.64% ± 0.00,42.35% ± 0.45,43.61% ± 0.33,44.27% ± 0.56,45.16% ± 0.45,47.09% ± 0.23,45.73% ± 0.48,47.25% ± 0.25,46.02% ± 0.29
