,original,generated_350_each,generated_500_each,generated_1000_each,generated_1500_each,generated_2000_each,generated_2500_each,generated_3000_each,generated_3500_each,generated_4000_each,generated_4500_each,generated_5000_each
NB,97.67% ± 0.00,95.49% ± 0.00,95.52% ± 0.00,92.70% ± 0.00,91.91% ± 0.00,88.03% ± 0.00,86.01% ± 0.00,84.25% ± 0.00,79.47% ± 0.00,77.42% ± 0.00,75.32% ± 0.00,76.13% ± 0.00
BERT,94.16% ± 1.38,95.92% ± 1.10,94.09% ± 1.40,95.42% ± 0.38,96.35% ± 1.95,96.83% ± 1.43,96.51% ± 0.74,96.54% ± 0.86,96.45% ± 0.86,96.29% ± 0.93,96.21% ± 1.21,96.20% ± 1.53
LightGBM,95.42% ± 0.00,92.91% ± 0.00,93.62% ± 0.00,91.55% ± 0.00,90.91% ± 0.00,90.00% ± 0.00,86.90% ± 0.00,86.71% ± 0.00,86.52% ± 0.00,85.71% ± 0.00,85.11% ± 0.00,85.11% ± 0.00
LSTM,90.31% ± 3.14,90.48% ± 4.58,91.07% ± 3.61,92.57% ± 3.26,92.52% ± 3.89,92.88% ± 1.47,92.70% ± 3.25,93.69% ± 1.47,92.32% ± 2.73,91.80% ± 5.12,93.16% ± 2.42,94.83% ± 0.46
KNN,94.96% ± 0.00,77.77% ± 4.27,79.53% ± 3.23,73.18% ± 4.52,67.00% ± 13.27,66.73% ± 2.24,61.80% ± 11.40,62.07% ± 12.23,59.67% ± 11.39,60.47% ± 13.04,56.47% ± 11.50,58.98% ± 2.30
XGBoost,91.84% ± 0.00,91.84% ± 0.00,93.26% ± 0.00,91.84% ± 0.00,89.53% ± 0.00,85.71% ± 0.00,86.30% ± 0.00,86.11% ± 0.00,83.78% ± 0.00,82.19% ± 0.00,81.94% ± 0.00,81.01% ± 0.00
LR,99.16% ± 0.00,96.15% ± 0.00,95.49% ± 0.00,94.49% ± 0.00,91.18% ± 0.00,89.93% ± 0.00,86.71% ± 0.00,83.78% ± 0.00,81.58% ± 0.00,80.92% ± 0.00,81.88% ± 0.00,80.92% ± 0.00
SVM,97.06% ± 0.00,94.74% ± 0.27,95.31% ± 0.34,91.74% ± 0.31,90.92% ± 0.95,89.72% ± 0.65,85.77% ± 0.27,89.13% ± 0.29,84.90% ± 0.40,86.40% ± 0.92,86.41% ± 0.24,86.33% ± 0.26
