,original,augmented_spam_1,augmented_spam_2,augmented_spam_3,augmented_spam_4,augmented_spam_5
NB,90.65% ± 0.00,87.63% ± 0.00,85.06% ± 0.00,83.65% ± 0.00,81.48% ± 0.00,80.61% ± 0.00
BERT,95.84% ± 1.06,96.75% ± 0.80,96.55% ± 0.70,96.54% ± 0.46,96.67% ± 0.69,96.23% ± 0.57
LightGBM,89.29% ± 0.00,91.41% ± 0.00,90.66% ± 0.00,91.10% ± 0.00,89.93% ± 0.00,90.17% ± 0.00
LSTM,92.92% ± 0.98,91.46% ± 2.03,92.86% ± 1.16,93.00% ± 0.82,92.89% ± 0.96,92.32% ± 1.10
KNN,84.33% ± 0.00,81.28% ± 0.35,83.09% ± 0.48,82.70% ± 1.13,82.87% ± 0.97,79.98% ± 0.67
XGBoost,72.87% ± 0.00,75.00% ± 0.00,75.91% ± 0.00,78.60% ± 0.00,76.35% ± 0.00,76.82% ± 0.00
LR,88.06% ± 0.00,92.20% ± 0.00,92.04% ± 0.00,90.54% ± 0.00,89.93% ± 0.00,88.29% ± 0.00
SVM,92.63% ± 0.00,91.79% ± 0.02,91.78% ± 0.00,91.84% ± 0.00,90.78% ± 0.00,90.50% ± 0.30
