,generated_350_each,generated_500_each,generated_1000_each,generated_1500_each,generated_2000_each,generated_2500_each,generated_3000_each,generated_3500_each,generated_4000_each,generated_4500_each,generated_5000_each
NB,32.13% ± 0.00,38.86% ± 0.00,36.21% ± 0.00,32.93% ± 0.00,33.20% ± 0.00,35.20% ± 0.00,36.51% ± 0.00,35.74% ± 0.00,35.19% ± 0.00,35.66% ± 0.00,34.24% ± 0.00
BERT,38.04% ± 4.52,45.52% ± 5.85,58.67% ± 5.19,62.61% ± 8.81,60.56% ± 7.52,64.61% ± 5.07,62.29% ± 5.74,66.43% ± 4.08,66.21% ± 6.06,66.67% ± 5.29,70.15% ± 5.64
LightGBM,39.20% ± 0.00,44.20% ± 0.00,41.71% ± 0.00,47.52% ± 0.00,47.37% ± 0.00,45.87% ± 0.00,45.61% ± 0.00,44.21% ± 0.00,44.35% ± 0.00,45.45% ± 0.00,47.11% ± 0.00
LSTM,15.36% ± 7.16,18.83% ± 13.03,32.92% ± 6.35,24.30% ± 14.54,35.04% ± 6.81,40.35% ± 15.39,45.85% ± 14.36,50.50% ± 7.42,59.55% ± 4.90,48.34% ± 13.45,51.41% ± 9.61
KNN,27.89% ± 10.65,25.88% ± 6.08,22.33% ± 7.38,30.82% ± 2.19,18.49% ± 8.06,17.67% ± 3.25,31.47% ± 3.06,27.31% ± 3.10,20.43% ± 6.65,21.67% ± 7.67,20.83% ± 4.55
XGBoost,50.55% ± 0.00,53.26% ± 0.00,62.14% ± 0.00,62.96% ± 0.00,60.71% ± 0.00,60.34% ± 0.00,58.20% ± 0.00,56.80% ± 0.00,56.35% ± 0.00,57.04% ± 0.00,58.27% ± 0.00
LR,34.44% ± 0.00,43.66% ± 0.00,37.91% ± 0.00,37.55% ± 0.00,39.48% ± 0.00,37.60% ± 0.00,37.45% ± 0.00,38.31% ± 0.00,39.53% ± 0.00,38.17% ± 0.00,36.67% ± 0.00
SVM,35.50% ± 0.00,36.40% ± 0.36,33.78% ± 0.00,34.58% ± 0.28,35.30% ± 0.30,35.40% ± 0.48,36.88% ± 0.49,38.21% ± 0.26,37.21% ± 0.37,38.53% ± 0.31,37.27% ± 0.31
