,generated_350_each,generated_500_each,generated_1000_each,generated_1500_each,generated_2000_each,generated_2500_each,generated_3000_each,generated_3500_each,generated_4000_each,generated_4500_each,generated_5000_each
NB,47.65% ± 0.00,50.34% ± 0.00,56.38% ± 0.00,55.03% ± 0.00,56.38% ± 0.00,59.06% ± 0.00,61.74% ± 0.00,66.44% ± 0.00,67.79% ± 0.00,68.46% ± 0.00,67.79% ± 0.00
BERT,95.70% ± 0.68,93.69% ± 1.57,85.10% ± 5.34,87.11% ± 4.23,91.68% ± 2.83,86.58% ± 5.30,89.93% ± 3.77,89.26% ± 3.15,89.26% ± 2.82,86.31% ± 5.10,86.58% ± 4.18
LightGBM,32.89% ± 0.00,40.94% ± 0.00,59.06% ± 0.00,64.43% ± 0.00,66.44% ± 0.00,67.11% ± 0.00,69.80% ± 0.00,71.81% ± 0.00,71.14% ± 0.00,70.47% ± 0.00,71.14% ± 0.00
LSTM,15.84% ± 10.20,35.03% ± 28.96,55.97% ± 17.07,36.78% ± 28.81,58.52% ± 27.40,50.74% ± 32.09,66.31% ± 17.88,63.89% ± 24.94,51.68% ± 19.79,70.47% ± 17.94,59.19% ± 15.95
KNN,44.03% ± 7.38,41.88% ± 7.16,41.48% ± 4.12,40.00% ± 1.51,54.09% ± 8.41,43.49% ± 12.76,55.84% ± 11.20,47.92% ± 11.07,41.88% ± 2.64,47.38% ± 6.33,44.97% ± 6.64
XGBoost,30.87% ± 0.00,32.89% ± 0.00,42.95% ± 0.00,45.64% ± 0.00,45.64% ± 0.00,46.98% ± 0.00,47.65% ± 0.00,47.65% ± 0.00,47.65% ± 0.00,51.68% ± 0.00,49.66% ± 0.00
LR,55.70% ± 0.00,62.42% ± 0.00,53.69% ± 0.00,59.73% ± 0.00,61.74% ± 0.00,61.07% ± 0.00,63.09% ± 0.00,67.11% ± 0.00,67.11% ± 0.00,67.11% ± 0.00,66.44% ± 0.00
SVM,62.42% ± 0.00,56.24% ± 0.99,51.01% ± 0.00,54.63% ± 0.81,57.05% ± 0.42,59.06% ± 0.85,58.26% ± 0.66,61.34% ± 0.33,59.33% ± 0.81,61.07% ± 0.60,60.13% ± 0.33
