,original,augmented_spam_1,augmented_spam_2,augmented_spam_3,augmented_spam_4,augmented_spam_5
NB,97.66% ± 0.00,96.67% ± 0.00,95.86% ± 0.00,95.32% ± 0.00,94.60% ± 0.00,94.24% ± 0.00
BERT,98.87% ± 0.30,99.12% ± 0.22,99.07% ± 0.19,99.07% ± 0.13,99.10% ± 0.20,99.00% ± 0.15
LightGBM,97.30% ± 0.00,97.75% ± 0.00,97.57% ± 0.00,97.66% ± 0.00,97.30% ± 0.00,97.39% ± 0.00
LSTM,98.10% ± 0.27,97.67% ± 0.60,98.10% ± 0.32,98.13% ± 0.25,98.12% ± 0.28,97.96% ± 0.33
KNN,96.22% ± 0.00,95.36% ± 0.11,95.58% ± 0.17,95.36% ± 0.39,95.52% ± 0.30,94.62% ± 0.21
XGBoost,93.97% ± 0.00,94.06% ± 0.00,94.06% ± 0.00,94.51% ± 0.00,93.71% ± 0.00,93.71% ± 0.00
LR,97.12% ± 0.00,98.02% ± 0.00,97.93% ± 0.00,97.48% ± 0.00,97.30% ± 0.00,96.85% ± 0.00
SVM,98.11% ± 0.00,97.84% ± 0.00,97.84% ± 0.00,97.84% ± 0.00,97.57% ± 0.00,97.48% ± 0.08
